"","County","State","Population"
"398","Bibb County","Georgia",153159
"399","Bleckley County","Georgia",12873
"400","Brantley County","Georgia",19109
"401","Brooks County","Georgia",15457
"402","Bryan County","Georgia",39627
"403","Bulloch County","Georgia",79608
"404","Burke County","Georgia",22383
"405","Butts County","Georgia",24936
"406","Calhoun County","Georgia",6189
"407","Camden County","Georgia",54666
"408","Candler County","Georgia",10803
"409","Carroll County","Georgia",119992
"410","Catoosa County","Georgia",67580
"411","Charlton County","Georgia",13392
"412","Chatham County","Georgia",289430
"413","Chattahoochee County","Georgia",10907
"414","Chattooga County","Georgia",24789
"415","Cherokee County","Georgia",258773
"416","Clarke County","Georgia",128331
"417","Clay County","Georgia",2834
"418","Clayton County","Georgia",292256
"419","Clinch County","Georgia",6618
"420","Cobb County","Georgia",760141
"421","Coffee County","Georgia",43273
"422","Colquitt County","Georgia",45600
"423","Columbia County","Georgia",156714
"424","Cook County","Georgia",17270
"425","Coweta County","Georgia",148509
"426","Crawford County","Georgia",12404
"427","Crisp County","Georgia",22372
"428","Dade County","Georgia",16116
"429","Dawson County","Georgia",26108
"430","Decatur County","Georgia",26404
"431","DeKalb County","Georgia",759297
"432","Dodge County","Georgia",20605
"433","Dooly County","Georgia",13390
"434","Dougherty County","Georgia",87956
"435","Douglas County","Georgia",146343
"436","Early County","Georgia",10190
"437","Echols County","Georgia",4006
"438","Effingham County","Georgia",64296
"439","Elbert County","Georgia",19194
"440","Emanuel County","Georgia",22646
"441","Evans County","Georgia",10654
"442","Fannin County","Georgia",26188
"443","Fayette County","Georgia",114421
"444","Floyd County","Georgia",98498
"445","Forsyth County","Georgia",244252
"446","Franklin County","Georgia",23349
"447","Fulton County","Georgia",1063937
"448","Gilmer County","Georgia",31369
"449","Glascock County","Georgia",2971
"450","Glynn County","Georgia",85292
"451","Gordon County","Georgia",57963
"452","Grady County","Georgia",24633
"453","Greene County","Georgia",18324
"454","Gwinnett County","Georgia",936250
"455","Habersham County","Georgia",45328
"456","Hall County","Georgia",204441
"457","Hancock County","Georgia",8457
"458","Haralson County","Georgia",29792
"459","Harris County","Georgia",35236
"460","Hart County","Georgia",26205
"461","Heard County","Georgia",11923
"462","Henry County","Georgia",234561
"463","Houston County","Georgia",157863
"464","Irwin County","Georgia",9416
"465","Jackson County","Georgia",72977
"466","Jasper County","Georgia",14219
"467","Jeff Davis County","Georgia",15115
"468","Jefferson County","Georgia",15362
"469","Jenkins County","Georgia",8676
"470","Johnson County","Georgia",9643
"471","Jones County","Georgia",28735
"472","Lamar County","Georgia",19077
"473","Lanier County","Georgia",10423
"474","Laurens County","Georgia",47546
"475","Lee County","Georgia",29992
"476","Liberty County","Georgia",61435
"477","Lincoln County","Georgia",7921
"478","Long County","Georgia",19559
"479","Lowndes County","Georgia",117406
"480","Lumpkin County","Georgia",33610
"481","McDuffie County","Georgia",21312
"482","McIntosh County","Georgia",14378
"483","Macon County","Georgia",12947
"484","Madison County","Georgia",29880
"485","Marion County","Georgia",8359
"486","Meriwether County","Georgia",21167
"487","Miller County","Georgia",5718
"488","Mitchell County","Georgia",21863
"489","Monroe County","Georgia",27578
"490","Montgomery County","Georgia",9172
"491","Morgan County","Georgia",19276
"492","Murray County","Georgia",40096
"493","Muscogee County","Georgia",195769
"494","Newton County","Georgia",111744
"495","Oconee County","Georgia",40280
"496","Oglethorpe County","Georgia",15259
"497","Paulding County","Georgia",168667
"498","Peach County","Georgia",27546
"499","Pickens County","Georgia",32591
"500","Pierce County","Georgia",19465
"501","Pike County","Georgia",18962
"502","Polk County","Georgia",42613
"503","Pulaski County","Georgia",11137
"504","Putnam County","Georgia",22119
"505","Quitman County","Georgia",2299
"506","Rabun County","Georgia",17137
"507","Randolph County","Georgia",6778
"508","Richmond County","Georgia",202518
"509","Rockdale County","Georgia",90896
"510","Schley County","Georgia",5257
"511","Screven County","Georgia",13966
"512","Seminole County","Georgia",8090
"513","Spalding County","Georgia",66703
"514","Stephens County","Georgia",25925
"515","Stewart County","Georgia",6621
"516","Sumter County","Georgia",29524
"517","Talbot County","Georgia",6195
"518","Taliaferro County","Georgia",1537
"519","Tattnall County","Georgia",25286
"520","Taylor County","Georgia",8020
"521","Telfair County","Georgia",15860
"522","Terrell County","Georgia",8531
"523","Thomas County","Georgia",44451
"524","Tift County","Georgia",40644
"525","Toombs County","Georgia",26830
"526","Towns County","Georgia",12037
"527","Treutlen County","Georgia",6901
"528","Troup County","Georgia",69922
"529","Turner County","Georgia",7985
"530","Twiggs County","Georgia",8120
"531","Union County","Georgia",24511
"532","Upson County","Georgia",26320
"533","Walker County","Georgia",69761
"534","Walton County","Georgia",94593
"535","Ware County","Georgia",35734
"536","Warren County","Georgia",5254
"537","Washington County","Georgia",20374
"538","Wayne County","Georgia",29927
"539","Webster County","Georgia",2607
"540","Wheeler County","Georgia",7855
"541","White County","Georgia",30798
"542","Whitfield County","Georgia",104628
"543","Wilcox County","Georgia",8635
"544","Wilkes County","Georgia",9777
"545","Wilkinson County","Georgia",8954
"546","Worth County","Georgia",20247
"547","Hawaii County","Hawaii",201513
"548","Honolulu County","Hawaii",974563
"549","Kalawao County","Hawaii",86
"550","Kauai County","Hawaii",72293
"551","Maui County","Hawaii",167417
"552","Ada County","Idaho",481587
"553","Adams County","Idaho",4294
"554","Bannock County","Idaho",87808
"555","Bear Lake County","Idaho",6125
"556","Benewah County","Idaho",9298
"557","Bingham County","Idaho",46811
"558","Blaine County","Idaho",23021
"559","Boise County","Idaho",7831
"560","Bonner County","Idaho",45739
"561","Bonneville County","Idaho",119062
"562","Boundary County","Idaho",12245
"563","Butte County","Idaho",2597
"564","Camas County","Idaho",1106
"565","Canyon County","Idaho",229849
"566","Caribou County","Idaho",7155
"567","Cassia County","Idaho",24030
"568","Clark County","Idaho",845
"569","Clearwater County","Idaho",8756
"570","Custer County","Idaho",4315
"571","Elmore County","Idaho",27511
"572","Franklin County","Idaho",13876
"573","Fremont County","Idaho",13099
"574","Gem County","Idaho",18112
"575","Gooding County","Idaho",15179
"576","Idaho County","Idaho",16667
"577","Jefferson County","Idaho",29871
"578","Jerome County","Idaho",24412
"579","Kootenai County","Idaho",165697
"580","Latah County","Idaho",40108
"581","Lemhi County","Idaho",8027
"582","Lewis County","Idaho",3838
"583","Lincoln County","Idaho",5366
"584","Madison County","Idaho",39907
"585","Minidoka County","Idaho",21039
"586","Nez Perce County","Idaho",40408
"587","Oneida County","Idaho",4531
"588","Owyhee County","Idaho",11823
"589","Payette County","Idaho",23951
"590","Power County","Idaho",7681
"591","Shoshone County","Idaho",12882
"592","Teton County","Idaho",12142
"593","Twin Falls County","Idaho",86878
"594","Valley County","Idaho",11392
"595","Washington County","Idaho",10194
"596","Adams County","Illinois",65435
"597","Alexander County","Illinois",5761
"598","Bond County","Illinois",16426
"599","Boone County","Illinois",53544
"600","Brown County","Illinois",6578
"601","Bureau County","Illinois",32628
"602","Calhoun County","Illinois",4739
"603","Carroll County","Illinois",14305
"604","Cass County","Illinois",12147
"605","Champaign County","Illinois",209689
"606","Christian County","Illinois",32304
"607","Clark County","Illinois",15441
"608","Clay County","Illinois",13184
"609","Clinton County","Illinois",37562
"610","Coles County","Illinois",50621
"611","Cook County","Illinois",5150233
"612","Crawford County","Illinois",18667
"613","Cumberland County","Illinois",10766
"614","DeKalb County","Illinois",104897
"615","De Witt County","Illinois",15638
"616","Douglas County","Illinois",19465
"617","DuPage County","Illinois",922921
"618","Edgar County","Illinois",17161
"619","Edwards County","Illinois",6395
"620","Effingham County","Illinois",34008
"621","Fayette County","Illinois",21336
"622","Ford County","Illinois",12961
"623","Franklin County","Illinois",38469
"624","Fulton County","Illinois",34340
"625","Gallatin County","Illinois",4828
"626","Greene County","Illinois",12969
"627","Grundy County","Illinois",51054
"628","Hamilton County","Illinois",8116
"629","Hancock County","Illinois",17708
"630","Hardin County","Illinois",3821
"631","Henderson County","Illinois",6646
"632","Henry County","Illinois",48913
"633","Iroquois County","Illinois",27114
"634","Jackson County","Illinois",56750
"635","Jasper County","Illinois",9610
"636","Jefferson County","Illinois",37684
"637","Jersey County","Illinois",21773
"638","Jo Daviess County","Illinois",21235
"639","Johnson County","Illinois",12417
"640","Kane County","Illinois",532403
"641","Kankakee County","Illinois",109862
"642","Kendall County","Illinois",128990
"643","Knox County","Illinois",49699
"644","Lake County","Illinois",696535
"645","LaSalle County","Illinois",108669
"646","Lawrence County","Illinois",15678
"647","Lee County","Illinois",34096
"648","Livingston County","Illinois",35648
"649","Logan County","Illinois",28618
"650","McDonough County","Illinois",29682
"651","McHenry County","Illinois",307774
"652","McLean County","Illinois",171517
"653","Macon County","Illinois",104009
"654","Macoupin County","Illinois",44926
"655","Madison County","Illinois",262966
"656","Marion County","Illinois",37205
"657","Marshall County","Illinois",11438
"658","Mason County","Illinois",13359
"659","Massac County","Illinois",13772
"660","Menard County","Illinois",12196
"661","Mercer County","Illinois",15437
"662","Monroe County","Illinois",34637
"663","Montgomery County","Illinois",28414
"664","Morgan County","Illinois",33658
"665","Moultrie County","Illinois",14501
"666","Ogle County","Illinois",50643
"667","Peoria County","Illinois",179179
"668","Perry County","Illinois",20916
"669","Piatt County","Illinois",16344
"670","Pike County","Illinois",15561
"671","Pope County","Illinois",4177
"672","Pulaski County","Illinois",5335
"673","Putnam County","Illinois",5739
"674","Randolph County","Illinois",31782
"675","Richland County","Illinois",15513
"676","Rock Island County","Illinois",141879
"677","St. Clair County","Illinois",259686
"678","Saline County","Illinois",23491
"679","Sangamon County","Illinois",194672
"680","Schuyler County","Illinois",6768
"681","Scott County","Illinois",4951
"682","Shelby County","Illinois",21634
"683","Stark County","Illinois",5342
"684","Stephenson County","Illinois",44498
"685","Tazewell County","Illinois",131803
"686","Union County","Illinois",16653
"687","Vermilion County","Illinois",75758
"688","Wabash County","Illinois",11520
"689","Warren County","Illinois",16844
"690","Washington County","Illinois",13887
"691","Wayne County","Illinois",16215
"692","White County","Illinois",13537
"693","Whiteside County","Illinois",55175
"694","Will County","Illinois",690743
"695","Williamson County","Illinois",66597
"696","Winnebago County","Illinois",282572
"697","Woodford County","Illinois",38459
"698","Adams County","Indiana",35777
"699","Allen County","Indiana",379299
"700","Bartholomew County","Indiana",83779
"701","Benton County","Indiana",8748
"702","Blackford County","Indiana",11758
"703","Boone County","Indiana",67843
"704","Brown County","Indiana",15092
"705","Carroll County","Indiana",20257
"706","Cass County","Indiana",37689
"707","Clark County","Indiana",118302
"708","Clay County","Indiana",26225
"709","Clinton County","Indiana",32399
"710","Crawford County","Indiana",10577
"711","Daviess County","Indiana",33351
"712","Dearborn County","Indiana",49458
"713","Decatur County","Indiana",26559
"714","DeKalb County","Indiana",43475
"715","Delaware County","Indiana",114135
"716","Dubois County","Indiana",42736
"717","Elkhart County","Indiana",206341
"718","Fayette County","Indiana",23102
"719","Floyd County","Indiana",78522
"720","Fountain County","Indiana",16346
"721","Franklin County","Indiana",22758
"722","Fulton County","Indiana",19974
"723","Gibson County","Indiana",33659
"724","Grant County","Indiana",65769
"725","Greene County","Indiana",31922
"726","Hamilton County","Indiana",338011
"727","Hancock County","Indiana",78168
"728","Harrison County","Indiana",40515
"729","Hendricks County","Indiana",170311
"730","Henry County","Indiana",47972
"731","Howard County","Indiana",82544
"732","Huntington County","Indiana",36520
"733","Jackson County","Indiana",44231
"734","Jasper County","Indiana",33562
"735","Jay County","Indiana",20436
"736","Jefferson County","Indiana",32308
"737","Jennings County","Indiana",27735
"738","Johnson County","Indiana",158167
"739","Knox County","Indiana",36594
"740","Kosciusko County","Indiana",79456
"741","LaGrange County","Indiana",39614
"742","Lake County","Indiana",485493
"743","LaPorte County","Indiana",109888
"744","Lawrence County","Indiana",45370
"745","Madison County","Indiana",129569
"746","Marion County","Indiana",964582
"747","Marshall County","Indiana",46258
"748","Martin County","Indiana",10255
"749","Miami County","Indiana",35516
"750","Monroe County","Indiana",148431
"751","Montgomery County","Indiana",38338
"752","Morgan County","Indiana",70489
"753","Newton County","Indiana",13984
"754","Noble County","Indiana",47744
"755","Ohio County","Indiana",5875
"756","Orange County","Indiana",19646
"757","Owen County","Indiana",20799
"758","Parke County","Indiana",16937
"759","Perry County","Indiana",19169
"760","Pike County","Indiana",12389
"761","Porter County","Indiana",170389
"762","Posey County","Indiana",25427
"763","Pulaski County","Indiana",12353
"764","Putnam County","Indiana",37576
"765","Randolph County","Indiana",24665
"766","Ripley County","Indiana",28324
"767","Rush County","Indiana",16581
"768","St. Joseph County","Indiana",271826
"769","Scott County","Indiana",23873
"770","Shelby County","Indiana",44729
"771","Spencer County","Indiana",20277
"772","Starke County","Indiana",22995
"773","Steuben County","Indiana",34594
"774","Sullivan County","Indiana",20669
"775","Switzerland County","Indiana",10751
"776","Tippecanoe County","Indiana",195732
"777","Tipton County","Indiana",15148
"778","Union County","Indiana",7054
"779","Vanderburgh County","Indiana",181451
"780","Vermillion County","Indiana",15498
"781","Vigo County","Indiana",107038
"782","Wabash County","Indiana",30996
"783","Warren County","Indiana",8265
"784","Warrick County","Indiana",62998
"785","Washington County","Indiana",28036
"786","Wayne County","Indiana",65884
"787","Wells County","Indiana",28296
"788","White County","Indiana",24102
"789","Whitley County","Indiana",33964
"790","Adair County","Iowa",7152
"791","Adams County","Iowa",3602
"792","Allamakee County","Iowa",13687
"793","Appanoose County","Iowa",12426
"794","Audubon County","Iowa",5496
"795","Benton County","Iowa",25645
"796","Black Hawk County","Iowa",131228
"797","Boone County","Iowa",26234
"798","Bremer County","Iowa",25062
"799","Buchanan County","Iowa",21175
"800","Buena Vista County","Iowa",19620
"801","Butler County","Iowa",14439
"802","Calhoun County","Iowa",9668
"803","Carroll County","Iowa",20165
"804","Cass County","Iowa",12836
"805","Cedar County","Iowa",18627
"806","Cerro Gordo County","Iowa",42450
"807","Cherokee County","Iowa",11235
"808","Chickasaw County","Iowa",11933
"809","Clarke County","Iowa",9395
"810","Clay County","Iowa",16016
"811","Clayton County","Iowa",17549
"812","Clinton County","Iowa",46429
"813","Crawford County","Iowa",16820
"814","Dallas County","Iowa",93453
"815","Davis County","Iowa",9000
"816","Decatur County","Iowa",7870
"817","Delaware County","Iowa",17011
"818","Des Moines County","Iowa",38967
